Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,ValueDeviation,Time(s),OptimalSolutionTime(s),TimeDeviation,SolutionFile
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1,7711.0,7572.0,1.836,0.010,0.592,-98.263,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1,7941.0,7572.0,4.873,0.011,0.592,-98.210,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10,7629.0,7572.0,0.753,0.018,0.592,-97.009,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10,7686.0,7572.0,1.506,0.017,0.592,-97.181,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100,7617.0,7572.0,0.594,0.038,0.592,-93.575,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100,7642.0,7572.0,0.924,0.035,0.592,-94.046,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,7608.0,7572.0,0.475,0.085,0.592,-85.682,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,7613.0,7572.0,0.541,0.096,0.592,-83.841,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,7572.0,7572.0,0.000,0.206,0.592,-65.273,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,7572.0,7572.0,0.000,0.200,0.592,-66.283,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,7572.0,7572.0,0.000,0.765,0.592,29.209,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,7595.0,7572.0,0.304,0.720,0.592,21.631,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7592.0,7572.0,0.264,5.888,0.592,894.677,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7583.0,7572.0,0.145,5.646,0.592,853.796,SetA_11x5S10-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1,7967.0,7535.0,5.733,0.011,0.571,-98.022,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1,7619.0,7535.0,1.115,0.011,0.571,-98.160,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10,7592.0,7535.0,0.756,0.017,0.571,-97.018,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10,7755.0,7535.0,2.920,0.023,0.571,-95.995,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100,7583.0,7535.0,0.637,0.033,0.571,-94.161,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100,7562.0,7535.0,0.358,0.038,0.571,-93.267,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,7576.0,7535.0,0.544,0.090,0.571,-84.279,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,7535.0,7535.0,0.000,0.081,0.571,-85.812,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,7558.0,7535.0,0.305,0.189,0.571,-66.862,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,7542.0,7535.0,0.093,0.180,0.571,-68.552,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,7543.0,7535.0,0.106,0.745,0.571,30.452,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,7542.0,7535.0,0.093,0.684,0.571,19.707,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7542.0,7535.0,0.093,5.473,0.571,858.463,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7542.0,7535.0,0.093,5.300,0.571,828.244,SetA_11x5S15-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1,7995.0,7439.0,7.474,0.010,0.447,-97.843,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1,7632.0,7439.0,2.594,0.012,0.447,-97.311,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10,7612.0,7439.0,2.326,0.018,0.447,-95.985,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10,7573.0,7439.0,1.801,0.018,0.447,-96.038,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100,7508.0,7439.0,0.928,0.041,0.447,-90.885,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100,7541.0,7439.0,1.371,0.037,0.447,-91.750,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,7445.0,7439.0,0.081,0.104,0.447,-76.748,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,7445.0,7439.0,0.081,0.087,0.447,-80.446,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,7445.0,7439.0,0.081,0.220,0.447,-50.762,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,7478.0,7439.0,0.524,0.188,0.447,-57.884,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,7475.0,7439.0,0.484,0.763,0.447,70.678,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,7470.0,7439.0,0.417,0.709,0.447,58.645,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7465.0,7439.0,0.350,5.801,0.447,1197.772,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7465.0,7439.0,0.350,5.702,0.447,1175.645,SetA_11x5S20-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1,7534.0,7420.0,1.536,0.012,0.59,-97.920,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1,7629.0,7420.0,2.817,0.010,0.59,-98.246,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10,7553.0,7420.0,1.792,0.019,0.59,-96.718,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10,7493.0,7420.0,0.984,0.017,0.59,-97.178,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100,7473.0,7420.0,0.714,0.040,0.59,-93.251,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100,7488.0,7420.0,0.916,0.035,0.59,-94.041,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000,7436.0,7420.0,0.216,0.117,0.59,-80.088,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,7454.0,7420.0,0.458,0.088,0.59,-85.054,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10000,7440.0,7420.0,0.270,0.237,0.59,-59.843,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,7424.0,7420.0,0.054,0.188,0.59,-68.127,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100000,7440.0,7420.0,0.270,0.816,0.59,38.272,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,7448.0,7420.0,0.377,0.752,0.59,27.522,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7436.0,7420.0,0.216,6.294,0.59,966.780,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7424.0,7420.0,0.054,6.221,0.59,954.373,SetA_11x5S30-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1,7931.0,7812.0,1.523,0.010,0.424,-97.595,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1,7939.0,7812.0,1.626,0.012,0.424,-97.207,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10,7884.0,7812.0,0.922,0.019,0.424,-95.612,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10,7917.0,7812.0,1.344,0.021,0.424,-94.951,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100,7836.0,7812.0,0.307,0.042,0.424,-90.000,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,100,7818.0,7812.0,0.077,0.046,0.424,-89.159,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,7812.0,7812.0,0.000,0.118,0.424,-72.086,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1000,7812.0,7812.0,0.000,0.119,0.424,-71.953,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,7812.0,7812.0,0.000,0.356,0.424,-16.131,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10000,7812.0,7812.0,0.000,0.355,0.424,-16.188,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,7812.0,7812.0,0.000,2.550,0.424,501.323,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,100000,7812.0,7812.0,0.000,2.541,0.424,499.213,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7812.0,7812.0,0.000,25.627,0.424,5944.142,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7812.0,7812.0,0.000,24.299,0.424,5630.966,SetA_11x5S5-Solution
SetA_12x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1,8548.0,7978.0,7.145,0.012,1.414,-99.161,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1,8275.0,7978.0,3.723,0.010,1.414,-99.268,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10,8283.0,7978.0,3.823,0.017,1.414,-98.828,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10,8226.0,7978.0,3.109,0.019,1.414,-98.650,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100,8060.0,7978.0,1.028,0.036,1.414,-97.465,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100,8148.0,7978.0,2.131,0.035,1.414,-97.555,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,8062.0,7978.0,1.053,0.093,1.414,-93.393,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,8089.0,7978.0,1.391,0.099,1.414,-93.003,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,8022.0,7978.0,0.552,0.196,1.414,-86.161,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,7998.0,7978.0,0.251,0.208,1.414,-85.323,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,8057.0,7978.0,0.990,0.727,1.414,-48.601,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,8008.0,7978.0,0.376,0.737,1.414,-47.865,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,8025.0,7978.0,0.589,6.034,1.414,326.708,SetA_12x5S10-Solution
SetA_12x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,8018.0,7978.0,0.501,5.659,1.414,300.218,SetA_12x5S10-Solution
SetA_12x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1,8319.0,7939.0,4.786,0.012,1.127,-98.961,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1,8336.0,7939.0,5.001,0.011,1.127,-99.030,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10,8170.0,7939.0,2.910,0.022,1.127,-98.067,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10,8188.0,7939.0,3.136,0.018,1.127,-98.392,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100,8064.0,7939.0,1.575,0.038,1.127,-96.593,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100,7996.0,7939.0,0.718,0.036,1.127,-96.801,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,7988.0,7939.0,0.617,0.099,1.127,-91.191,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,8025.0,7939.0,1.083,0.095,1.127,-91.556,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,7988.0,7939.0,0.617,0.208,1.127,-81.525,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,8016.0,7939.0,0.970,0.187,1.127,-83.400,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,7950.0,7939.0,0.139,0.785,1.127,-30.311,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,7950.0,7939.0,0.139,0.751,1.127,-33.363,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7939.0,7939.0,0.000,6.039,1.127,435.872,SetA_12x5S15-Solution
SetA_12x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,8013.0,7939.0,0.932,6.228,1.127,452.594,SetA_12x5S15-Solution
SetA_12x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1,8257.0,7939.0,4.006,0.012,1.932,-99.384,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1,8389.0,7939.0,5.668,0.010,1.932,-99.474,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10,8142.0,7939.0,2.557,0.020,1.932,-98.989,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10,8061.0,7939.0,1.537,0.023,1.932,-98.830,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100,8005.0,7939.0,0.831,0.044,1.932,-97.706,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100,8018.0,7939.0,0.995,0.036,1.932,-98.146,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,7976.0,7939.0,0.466,0.112,1.932,-94.213,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,7978.0,7939.0,0.491,0.090,1.932,-95.364,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,7978.0,7939.0,0.491,0.261,1.932,-86.510,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,7986.0,7939.0,0.592,0.186,1.932,-90.376,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,7966.0,7939.0,0.340,0.819,1.932,-57.632,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,7987.0,7939.0,0.605,0.834,1.932,-56.821,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7986.0,7939.0,0.592,6.529,1.932,237.921,SetA_12x5S20-Solution
SetA_12x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7961.0,7939.0,0.277,6.596,1.932,241.402,SetA_12x5S20-Solution
SetA_12x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1,8177.0,7923.0,3.206,0.012,1.978,-99.385,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1,8228.0,7923.0,3.850,0.010,1.978,-99.475,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10,8105.0,7923.0,2.297,0.019,1.978,-99.034,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10,8086.0,7923.0,2.057,0.017,1.978,-99.125,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100,8028.0,7923.0,1.325,0.042,1.978,-97.863,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100,7981.0,7923.0,0.732,0.040,1.978,-97.995,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000,7986.0,7923.0,0.795,0.125,1.978,-93.669,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,7948.0,7923.0,0.316,0.099,1.978,-94.973,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10000,7945.0,7923.0,0.278,0.261,1.978,-86.829,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,7975.0,7923.0,0.656,0.204,1.978,-89.662,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100000,7974.0,7923.0,0.644,0.927,1.978,-53.149,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,7959.0,7923.0,0.454,0.888,1.978,-55.099,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7934.0,7923.0,0.139,7.106,1.978,259.269,SetA_12x5S30-Solution
SetA_12x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7945.0,7923.0,0.278,7.193,1.978,263.652,SetA_12x5S30-Solution
SetA_12x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1,8376.0,8072.0,3.766,0.012,0.145,-91.891,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1,8532.0,8072.0,5.699,0.012,0.145,-91.675,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10,8245.0,8072.0,2.143,0.018,0.145,-87.587,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10,8268.0,8072.0,2.428,0.018,0.145,-87.375,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100,8113.0,8072.0,0.508,0.036,0.145,-75.017,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,Reloc-Swap-DoorSwap,100,8174.0,8072.0,1.264,0.038,0.145,-73.881,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,8136.0,8072.0,0.793,0.107,0.145,-26.045,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1000,8122.0,8072.0,0.619,0.109,0.145,-24.773,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,8136.0,8072.0,0.793,0.261,0.145,80.329,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10000,8136.0,8072.0,0.793,0.246,0.145,69.384,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,8088.0,8072.0,0.198,1.390,0.145,858.795,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,Reloc-Swap-DoorSwap,100000,8097.0,8072.0,0.310,1.453,0.145,902.353,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,8072.0,8072.0,0.000,12.104,0.145,8247.602,SetA_12x5S5-Solution
SetA_12x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1000000,8072.0,8072.0,0.000,12.430,0.145,8472.102,SetA_12x5S5-Solution
SetA_12x6S10,GRASP_VND,DoorSwap-Reloc-Swap,1,10873.0,10456.0,3.988,0.013,3.357,-99.623,SetA_12x6S10-Solution
SetA_12x6S10,GRASP_VND,Reloc-Swap-DoorSwap,1,10793.0,10456.0,3.223,0.013,3.357,-99.599,SetA_12x6S10-Solution
